"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Jadarian Price","SEA","RB","RB","6.01","5.09","6.11","6.05","5.11"
"[object Object]","Jayden Daniels","WAS","QB","QB","6.02","6.09","5.04","5.06","6.11"
"[object Object]","Jameson Williams","DET","WR","WR","6.02","5.11","6.05","6.06","5.02"
"[object Object]","Tucker Kraft","GB","TE","TE","6.03","6.06","8.07","6.01","7.05"
"[object Object]","Sam LaPorta","DET","TE","TE","6.04","6.05","6.12","6.03","8.06"
"[object Object]","Rome Odunze","CHI","WR","WR","6.05","6.03","6.05","6.07","5.10"
"[object Object]","Mike Evans","SF","WR","WR","6.05","6.02","8.04","6.08","5.05"
"[object Object]","Christian Watson","GB","WR","WR","6.07","6.06","8.07","6.08","5.09"
"[object Object]","Caleb Williams","CHI","QB","QB","6.11","7.03","8.08","6.08","7.02"
"[object Object]","Kyle Pitts Sr.","ATL","TE","TE","6.11","6.10","6.07","7.01","9.06"
"[object Object]","Jaylen Warren","PIT","RB","RB","7.01","6.09","8.07","7.05","6.10"
"[object Object]","Harold Fannin Jr.","CLE","TE","TE","7.02","7.05","6.12","6.11","9.09"
"[object Object]","Carnell Tate","TEN","WR","WR","7.02","6.08","7.05","7.09","6.03"
"[object Object]","Marvin Harrison Jr.","ARI","WR","WR","7.03","6.11","7.08","7.06","6.06"
"[object Object]","Justin Herbert","LAC","QB","QB","7.04","7.09","8.08","6.10","7.12"
"[object Object]","Parker Washington","JAX","WR","WR","7.04","6.11","8.07","7.08","5.07"
"[object Object]","Rhamondre Stevenson","NE","RB","RB","7.04","7.01","7.09","7.07","6.07"
"[object Object]","Dak Prescott","DAL","QB","QB","7.07","7.12","7.03","7.02","7.09"
"[object Object]","Brian Thomas Jr.","JAX","WR","WR","7.08","7.03","10.03","7.12","6.05"
"[object Object]","Tony Pollard","TEN","RB","RB","7.10","7.06","8.10","8.02","7.06"
"[object Object]","DK Metcalf","PIT","WR","WR","7.10","7.06","8.02","8.02","7.03"
"[object Object]","Chuba Hubbard","CAR","RB","RB","7.12","7.08","10.03","8.04","9.04"
"[object Object]","George Kittle","SF","TE","TE","8.01","8.02","7.08","8.01","10.04"
"[object Object]","Rico Dowdle","PIT","RB","RB","8.01","7.12","9.01","8.03","7.11"
"[object Object]","Jonathon Brooks","CAR","RB","RB","8.07","8.03","9.12","8.10","7.04"
"[object Object]","Trevor Lawrence","JAX","QB","QB","8.07","9.02","9.01","7.12","8.03"
"[object Object]","J.K. Dobbins","DEN","RB","RB","8.07","8.03","10.05","8.12","8.12"
"[object Object]","Courtland Sutton","DEN","WR","WR","8.08","7.08","7.09","9.08","7.11"
"[object Object]","Chris Godwin Jr.","TB","WR","WR","8.09","8.06","11.08","9.01","7.12"
"[object Object]","Travis Kelce","KC","TE","TE","8.10","8.09","8.11","8.10","11.04"
"[object Object]","RJ Harvey","DEN","RB","RB","8.10","7.10","11.09","9.10","8.04"
"[object Object]","Alec Pierce","IND","WR","WR","8.11","8.11","9.11","8.11","8.10"
"[object Object]","Dalton Kincaid","BUF","TE","TE","8.11","8.07","11.11","9.02","10.12"
"[object Object]","Blake Corum","LAR","RB","RB","8.12","8.08","11.09","9.03","8.03"
"[object Object]","Michael Wilson","ARI","WR","WR","8.12","8.06","9.06","9.06","8.08"
"[object Object]","Jaxson Dart","NYG","QB","QB","9.02","9.09","7.09","8.06","9.09"
"[object Object]","Jordyn Tyson","NO","WR","WR","9.04","9.08","14.12","9.01","8.07"
"[object Object]","Kyle Monangai","CHI","RB","RB","9.05","8.11","11.05","9.10","9.12"
"[object Object]","Matthew Stafford","LAR","QB","QB","9.07","9.10","8.05","9.04","10.04"
"[object Object]","Jacory Croskey-Merritt","WAS","RB","RB","9.07","9.02","12.03","10.01","9.04"
"[object Object]","Jordan Mason","MIN","RB","RB","9.09","8.12","12.07","10.06","8.12"
"[object Object]","Quentin Johnston","LAC","WR","WR","9.11","9.07","11.11","10.03","6.12"
"[object Object]","Bo Nix","DEN","QB","QB","9.12","10.09","9.01","9.03","9.11"
"[object Object]","Patrick Mahomes","KC","QB","QB","9.12","10.07","9.11","9.05","9.02"
"[object Object]","Stefon Diggs","WAS","WR","WR","10.01","10.04","10.01","9.09","8.11"
"[object Object]","Jordan Addison","MIN","WR","WR","10.01","9.05","10.11","10.08","8.05"
"[object Object]","Isaiah Likely","NYG","TE","TE","10.01","10.01","11.04","10.01","11.07"
"[object Object]","Jayden Reed","GB","WR","WR","10.02","9.06","12.04","10.10","7.06"
"[object Object]","Josh Downs","IND","WR","WR","10.03","10.06","12.05","9.12","7.11"
"[object Object]","Brock Purdy","SF","QB","QB","10.03","11.04","9.12","9.02","9.07"
"[object Object]","Michael Pittman Jr.","PIT","WR","WR","10.05","9.09","8.06","10.12","9.06"
"[object Object]","Kenny Gainwell","TB","RB","RB","10.05","9.12","9.10","10.11","10.01"
"[object Object]","Jake Ferguson","DAL","TE","TE","10.06","10.03","10.01","10.08","12.04"
"[object Object]","De'Zhaun Stribling","SF","WR","WR","10.06","10.10","12.11","10.02","9.12"
"[object Object]","Makai Lemon","PHI","WR","WR","10.06","-","12.03","10.06","7.10"
"[object Object]","Dallas Goedert","PHI","TE","TE","10.08","11.05","9.07","9.10","11.12"
"[object Object]","Aaron Rodgers","PIT","QB","QB","10.09","-","15.01","10.09","16.04"
"[object Object]","Mark Andrews","BAL","TE","TE","10.10","11.02","11.05","10.05","12.03"
"[object Object]","KC Concepcion","CLE","WR","WR","10.11","10.05","13.02","11.06","10.02"
"[object Object]","Aaron Jones Sr.","MIN","RB","RB","10.12","10.08","10.11","11.04","11.07"
"[object Object]","Rachaad White","WAS","RB","RB","11.03","11.04","11.08","11.03","10.11"
"[object Object]","Matthew Golden","GB","WR","WR","11.04","11.01","10.02","11.07","9.04"
"[object Object]","Pat Freiermuth","PIT","TE","TE","11.04","-","15.01","11.04","17.06"
"[object Object]","Wan'Dale Robinson","TEN","WR","WR","11.05","10.11","10.07","11.11","10.07"
"[object Object]","MarShawn Lloyd","GB","RB","RB","11.07","-","13.02","11.07","12.03"
"[object Object]","Xavier Worthy","KC","WR","WR","11.08","11.07","11.08","11.09","9.11"
"[object Object]","Jared Goff","DET","QB","QB","11.08","12.10","12.04","10.06","10.04"
"[object Object]","Chris Rodriguez Jr.","JAX","RB","RB","11.09","11.06","14.09","11.11","11.03"
"[object Object]","Jakobi Meyers","JAX","WR","WR","11.09","11.08","11.01","11.10","11.01"
