"#","Team Name","User","Points","League Rank","Record"
"104","TooGrimey","toogrimey","193.92","1","2-0-0"
"105","shainiski","shainiski","193.82","1","2-0-0"
"106","MF_Jones","brandoncmk","193.76","1","2-0-0"
"107","dutchiemd","dutchiemd","193.70","1","2-0-0"
"108","Purdy Strange Flowers","adamb_","193.70","1","2-0-0"
"109","Substation Zero","bigfins","193.70","1","2-0-0"
"110","Iceman Turnt","dmacwake316","193.66","1","2-0-0"
"111","Gridiron Gansters","rileymc1352","193.66","1","2-0-0"
"112","giantgemini","giantgemini","193.60","1","2-0-0"
"113","Naked and Afraid","calebtrilliamz","193.46","1","2-0-0"
"114","Tartan Titans","richarddryburgh","193.40","1","2-0-0"
"115","bluegrassdaddy","bluegrassdaddy","193.36","1","2-0-0"
"116","Bijan MusDart","mikescore","193.30","1","2-0-0"
"117","scottzaring","scottzaring","193.16","1","2-0-0"
"118","avfcjps","avfcjps","193.10","1","2-0-0"
"119","Law and Parker: SVU","wayve85","193.00","1","2-0-0"
"120","It Is Football Time?","will22dominate","192.70","1","2-0-0"
"121","yv621","yv621","192.66","1","2-0-0"
"122","csrowland44","csrowland44","192.56","1","2-0-0"
"123","Failed Imagineers","sourgrapes999","192.54","1","2-0-0"
"124","Silence of the Lambs","tperry72","192.40","1","2-0-0"
"125","sommthom","sommthom","192.36","1","2-0-0"
"126","My Njigba","baker007","192.20","1","2-0-0"
"127","Too Many Cooks","thesandman420","192.20","1","2-0-0"
"128","Dak to the Future","bigdadbbq","192.10","1","2-0-0"
"129","eljordano1975","eljordano1975","192.06","1","2-0-0"
"130","natemarcum","natemarcum","191.94","1","2-0-0"
"131","kingd201122","kingd201122","191.80","1","2-0-0"
"132","ShivaBlasts","shivablasting","191.70","1","2-0-0"
"133","JackDanielsnJohnieWalker","bubba34","191.66","1","2-0-0"
"134","The Dart Knight Rises","gelo686","191.60","1","2-0-0"
"135","cammypoo239","cammypoo239","191.46","1","2-0-0"
"136","skylarhoover","skylarhoover","191.46","1","2-0-0"
"137","ronchomp3","ronchomp3","191.08","1","2-0-0"
"138","The Mega Powers","commishbtl","190.90","1","2-0-0"
"139","Chumming the Waiver Wire","jag21979","190.86","1","2-0-0"
"140","jhurtsformvp","jhurtsformvp","190.80","1","2-0-0"
"141","idahomies","idahomies","190.80","1","2-0-0"
"142","This Is The Year!","greaty25","190.60","1","2-0-0"
"143","mist3rmango","mist3rmango","190.60","1","2-0-0"
"144","Meet the Brockers","pumpkin8r","190.56","1","2-0-0"
"145","jobu82","jobu82","190.36","1","2-0-0"
"146","Gronky Punch","yoinkw77","190.30","1","2-0-0"
"147","Very Effuctive","kpf103","190.26","1","2-0-0"
"148","beedubgeee","beedubgeee","190.16","1","2-0-0"
"149","cobotch","cobotch","190.16","1","2-0-0"
"150","bobbaghanoush","bobbaghanoush","190.08","1","2-0-0"
"151","thehashoilers","thehashoilers","190.06","1","2-0-0"
"152","filthynerd54","filthynerd54","190.02","1","2-0-0"
"153","ream3d","ream3d","189.96","1","2-0-0"
"154","Amon Drugs","akennedy11","189.96","1","2-0-0"
"155","dreamteam07","dreamteam07","189.86","1","2-0-0"
"156","Dragon Footballers","gokudoku","189.86","1","2-0-0"
"157","saved by the chris bell","rambopambo","189.84","1","2-0-0"
"158","barnabas77","barnabas77","189.76","1","2-0-0"
"159","Puzzles","kiratemaster","189.74","1","2-0-0"
"160","razorarm","razorarm","189.74","1","2-0-0"
"161","shrimpgangv2","shrimpgangv2","189.70","1","2-0-0"
"162","mgordon820","mgordon820","189.66","1","2-0-0"
"163","CheekClappinCanadian","fknbrenni","189.62","1","2-0-0"
"164","xblacksheepx","xblacksheepx","189.60","1","2-0-0"
"165","joeisthegoat","joeisthegoat","189.50","1","2-0-0"
"166","Need Moore WRs","paulmeilleur","189.46","1","2-0-0"
"167","generallee52","generallee52","189.46","1","2-0-0"
"168","justinator24r2","justinator24r2","189.40","1","2-0-0"
"169","Gibbs me Moore","staub01","189.26","1","2-0-0"
"170","jermun","jermun","189.22","1","2-0-0"
"171","drninjashark","drninjashark","189.20","1","2-0-0"
"172","pcollins6","pcollins6","189.20","1","2-0-0"
"173","tyler94z","tyler94z","189.16","1","2-0-0"
"174","BoogieWhoDey","boogieballin","188.86","1","2-0-0"
"175","jwaf","jwaf","188.76","1","2-0-0"
"176","santeego","santeego","188.66","1","2-0-0"
"177","kom1973","kom1973","188.64","1","2-0-0"
"178","All Gibbs, No Brakes","flyingwaffle","188.56","1","2-0-0"
"179","The Black Hole","orome42","188.50","1","2-0-0"
"180","Game of Clones","ducky976","188.40","1","2-0-0"
"181","dawkdawkins","dawkdawkins","188.36","2","2-0-0"
"182","frigney","frigney","188.36","1","2-0-0"
"183","Taylor Made","shaygiven","188.34","1","2-0-0"
"184","Pitty City","mph82","188.26","1","2-0-0"
"185","Goff at my Kittle","gzehnal","188.24","1","2-0-0"
"186","kingezekiel","kingezekiel","188.20","1","2-0-0"
"187","ryand04","ryand04","188.06","1","2-0-0"
"188","jenderlen","jenderlen","188.02","1","2-0-0"
"189","goblueruss","goblueruss","187.90","1","2-0-0"
"190","sonnyweaver2","sonnyweaver2","187.86","1","2-0-0"
"191","jpiddy59","jpiddy59","187.80","1","2-0-0"
"192","theprofessorx","theprofessorx","187.76","1","2-0-0"
"193","High-T Double Stack","adamstewart79","187.70","1","2-0-0"
"194","Let James Cook","drewehlert","187.66","1","2-0-0"
"195","Straw Hats","santiagotrevino","187.60","1","2-0-0"
"196","raidertilidie","raidertilidie","187.56","1","2-0-0"
"197","Honkey Tonk McConkeydonk","pfox3417","187.56","1","2-0-0"
"198","FF Degenerate","fielddegenerate","187.50","1","2-0-0"
"199","wadewalker","wadewalker","187.46","1","2-0-0"
"200","Dak To The Future","scoop24x","187.40","1","2-0-0"
"201","GooooBirds","moliveto12","187.36","1","2-0-0"
"202","DRB","therealdbarrows1","187.20","1","2-0-0"
"203","bigadm80","bigadm80","187.16","1","2-0-0"
"204","Shane Falco","chuck0719","187.10","1","2-0-0"
"205","1uwerewarndbout","1uwerewarndbout","187.06","1","2-0-0"
"206","bhs001","bhs001","187.02","1","2-0-0"
"207","3 and Out","vizzini","186.96","1","2-0-0"
"208","ajstone33","ajstone33","186.92","1","2-0-0"
"209","The Strib Club","johnbegone69","186.90","1","2-0-0"
"210","Gibbs Me Head","masonlowe05","186.86","1","2-0-0"
"211","Sorry Smith-Jaxon","dannydimes2025","186.66","1","2-0-0"
"212","Shake and Bake","stempd","186.64","1","2-0-0"
"213","Streex & Destroy","edsicalz","186.60","1","2-0-0"
"214","Pls. Josh Allen","banzobets","186.56","1","2-0-0"
"215","Lego Turf Toe","jorlando","186.46","1","2-0-0"
"216","Estimated Prophet","sidtax5","186.40","2","2-0-0"
"217","Swift Kick to the Dak","mkucmyda","186.40","1","2-0-0"
"218","Gilas Pilipinas","gilaspilipinas1","186.40","1","2-0-0"
"219","brxntly","brxntly","186.36","1","2-0-0"
"220","ironald","ironald","186.36","1","2-0-0"
"221","jakobe823","jakobe823","186.26","1","2-0-0"
"222","Projection is Not Reality","threep","186.16","1","2-0-0"
"223","tmac1034","tmac1034","186.16","1","2-0-0"
"224","Likely it Hurts a Kittle","meders","186.12","1","2-0-0"
"225","De'Von Intervention","cmarley85","186.10","1","2-0-0"
"226","saddisco","saddisco","186.04","1","2-0-0"
"227","dustinjohnson97","dustinjohnson97","186.00","1","2-0-0"
"228","rundave","rundave","186.00","1","2-0-0"
"229","Mega Orphan Team","tomhaverford","186.00","1","2-0-0"
"230","DoctaGanja","bliatz","185.96","1","2-0-0"
"231","crawford1311","crawford1311","185.96","1","2-0-0"
"232","Walker This Way","matvio16","185.96","1","2-0-0"
"233","Warren Peace","bradk129","185.90","1","2-0-0"
"234","dhill19","dhill19","185.86","1","2-0-0"
"235","Dart Throw","canuckis","185.80","1","2-0-0"
"236","stephen0880","stephen0880","185.80","1","2-0-0"
"237","Electrical Substation","jburg401","185.76","1","2-0-0"
"238","StribClubOpenOnSundays","caleb4390","185.70","1","2-0-0"
"239","Lakes & Mistakes","jlideen","185.70","1","2-0-0"
"240","cwilson11","cwilson11","185.66","1","2-0-0"
"241","Blue Crayon Battelion","redmanning","185.56","1","2-0-0"
"242","iglooel91","iglooel91","185.46","1","2-0-0"
"243","absolutezero89","absolutezero89","185.46","1","2-0-0"
"244","Sorry Smith-Jaxon","cthe2can","185.36","1","2-0-0"
"245","nickellessclark","nickellessclark","185.36","1","2-0-0"
"246","Gross Mess Gluttons","austinondastand","185.30","1","2-0-0"
"247","House in the Hamptons","avig","185.26","1","2-0-0"
"248","medic369633","medic369633","185.22","1","2-0-0"
"249","cdc35","cdc35","185.22","1","2-0-0"
"250","furious_george","furious_george","185.20","1","2-0-0"
