"#","Team Name","User","Points","League Rank","Record"
"5705","Tri Town Thrashers","hondaracing","141.06","4","2-0-0"
"5706","jstijstark","jstijstark","141.06","4","2-0-0"
"5707","Lead Farmers","ebz","141.06","4","2-0-0"
"5708","Dirty Dan and The Boys","adal8807","141.06","4","2-0-0"
"5709","Gibbs Me a Break","holseta","141.06","4","2-0-0"
"5710","Athol Duck-Billed Platypi","contrabandtaco","141.06","3","2-0-0"
"5711","Never Gonna Gibbs You Up","sdkleckn","141.06","3","2-0-0"
"5712","grishnog","grishnog","141.04","2","2-0-0"
"5713","noochsmashmouth","noochsmashmouth","141.04","3","2-0-0"
"5714","richbrad13","richbrad13","141.02","6","1-1-0"
"5715","Team Sim","jsts91","141.02","4","2-0-0"
"5716","Gibb Me Those TDs","funkyman91","141.02","2","2-0-0"
"5717","Sun Gawds","jeemoney75","141.02","3","2-0-0"
"5718","frielerjacob","frielerjacob","141.02","4","2-0-0"
"5719","bgus98","bgus98","141.00","4","2-0-0"
"5720","McBride of Barkley","tonyp619","141.00","3","2-0-0"
"5721","doordashenthusiast","doordashenthusiast","141.00","3","2-0-0"
"5722","secondbreakfast","secondbreakfast","141.00","5","1-1-0"
"5723","reecespeces","reecespeces","141.00","4","2-0-0"
"5724","Bit of a De'Walker Myself","papaschwing","141.00","4","2-0-0"
"5725","Show Me Them TDs","seanls","141.00","5","2-0-0"
"5726","yao0013","yao0013","141.00","3","2-0-0"
"5727","Oops! All Jags","max_ac","141.00","4","2-0-0"
"5728","Nomad","ngibson","141.00","3","2-0-0"
"5729","mikegt59","mikegt59","140.96","5","2-0-0"
"5730","yikesapotamus","yikesapotamus","140.96","3","2-0-0"
"5731","Tenacious B","antscox","140.96","4","2-0-0"
"5732","Freakzilla","chopsway","140.96","5","2-0-0"
"5733","shmokinherbert","shmokinherbert","140.96","3","2-0-0"
"5734","Bijan Al Gaib","tiddiesmack","140.96","5","1-1-0"
"5735","Quasimodo Predicted This","ghoho93","140.96","5","1-1-0"
"5736","Dirty Mike & the boys","imthatadam","140.96","5","1-1-0"
"5737","Mike's Favorite RBs","ainnamo","140.96","3","2-0-0"
"5738","gergalert92","gergalert92","140.96","2","2-0-0"
"5739","Love the Drake","beefjiggle46","140.96","6","1-1-0"
"5740","All's Fair n Loveland War","goatman34","140.96","5","1-1-0"
"5741","sweeney406","sweeney406","140.96","3","2-0-0"
"5742","numchucks","numchucks","140.96","5","2-0-0"
"5743","Cobra Sun","cobrasun","140.96","2","2-0-0"
"5744","Amon a Mission","fbfrenzy","140.96","3","2-0-0"
"5745","Circle of Gibbs","emilydawn","140.96","3","2-0-0"
"5746","Steven Glansberg","slater69","140.96","5","2-0-0"
"5747","gametimetcg","gametimetcg","140.96","3","2-0-0"
"5748","randy8898","randy8898","140.96","3","2-0-0"
"5749","🍻🍀 Paddy’s Pub 🍀🍻","koaladave","140.94","3","2-0-0"
"5750","laxgimly","laxgimly","140.94","6","1-1-0"
"5751","620","donttrip11","140.92","3","2-0-0"
"5752","O-Bijan Kenobi","lifeofpoblo","140.92","3","2-0-0"
"5753","jdawgkilla","jdawgkilla","140.90","4","2-0-0"
"5754","Injury Tent","rymapes","140.90","3","2-0-0"
"5755","The Shiva Blasts","ejacks2345","140.90","4","2-0-0"
"5756","Horse Boyz","shanderson05","140.90","4","2-0-0"
"5757","mcrane62","mcrane62","140.90","4","2-0-0"
"5758","Ohh… MyCaffrey!","vanhoose85","140.90","3","2-0-0"
"5759","ChickenBuckets","chickenbuckets","140.90","3","2-0-0"
"5760","Return of C-Mack","dandyhalfling","140.90","3","2-0-0"
"5761","Laserweasel","laserweasel99","140.90","2","2-0-0"
"5762","caseydugas","caseydugas","140.90","4","1-1-0"
"5763","smell the purdy flowers","haoleheathen","140.90","6","1-1-0"
"5764","ghtito","ghtito","140.90","5","1-1-0"
"5765","Colonel Slanters","triforcedfumblz","140.90","6","1-1-0"
"5766","jagfan85","jagfan85","140.86","5","2-0-0"
"5767","onlyfrogs","onlyfrogs","140.86","3","2-0-0"
"5768","Daejon Love","jrayvaughn","140.86","4","2-0-0"
"5769","hilkey24","hilkey24","140.86","5","1-1-0"
"5770","Pizza rolling in the deep","misterneesum","140.86","2","2-0-0"
"5771","marcworldon","marcworldon","140.86","5","2-0-0"
"5772","My Team Shoughs","stetler11","140.86","6","1-1-0"
"5773","well_sir","well_sir","140.86","3","2-0-0"
"5774","Spartan Dawgs","swiftde6","140.86","5","1-1-0"
"5775","Muffed Punt","helena714","140.86","6","1-1-0"
"5776","Let James Cook","hwhit","140.86","6","1-1-0"
"5777","blackbeard619","blackbeard619","140.86","3","2-0-0"
"5778","natecloer","natecloer","140.86","6","1-1-0"
"5779","Leeroy Spankins","allubaba","140.86","6","1-1-0"
"5780","jfs1092","jfs1092","140.86","2","2-0-0"
"5781","mowens85","mowens85","140.86","5","1-1-0"
"5782","nickrebeiro","nickrebeiro","140.86","6","1-1-0"
"5783","awilkes21","awilkes21","140.86","5","2-0-0"
"5784","Room 40","simbaisborn","140.86","5","2-0-0"
"5785","cassidy74","cassidy74","140.84","4","2-0-0"
"5786","ijduncan12","ijduncan12","140.84","3","2-0-0"
"5787","chris2718337609","chris2718337609","140.82","5","2-0-0"
"5788","kushwizard420","kushwizard420","140.82","2","2-0-0"
"5789","Ah-Maye-Zing","neoreno0323","140.82","5","1-1-0"
"5790","87 and Done","brianbc316","140.80","3","2-0-0"
"5791","sippinonthielen","sippinonthielen","140.80","5","1-1-0"
"5792","Lawrence & Order","sugabearnolan","140.80","2","2-0-0"
"5793","The Price is Right","nmarkman93","140.80","3","2-0-0"
"5794","nameismichael","nameismichael","140.80","4","2-0-0"
"5795","rfeaver1","rfeaver1","140.80","3","2-0-0"
"5796","Mega Barrel","barrel","140.80","3","2-0-0"
"5797","The Gold Jackets","dschimy7","140.76","3","2-0-0"
"5798","Whiskey Business","thedremister","140.76","5","1-1-0"
"5799","Mia McMookies","brettzkysz","140.76","6","1-1-0"
"5800","Brown Man's Burden","orehoes","140.76","3","2-0-0"
"5801","patphillip04","patphillip04","140.76","4","2-0-0"
"5802","connoisseur303","connoisseur303","140.76","3","2-0-0"
"5803","tgreg1970","tgreg1970","140.76","3","2-0-0"
"5804","captainjig","captainjig","140.76","5","1-1-0"
"5805","Jackson Mahomes Fanclub","donkeyteethjr","140.76","5","1-1-0"
"5806","actaco","actaco","140.76","2","2-0-0"
"5807","I-say-ah Likely Sharted","dynamafia","140.76","5","2-0-0"
"5808","Gibbs me Moore points","knewbs3","140.76","4","2-0-0"
"5809","Best best fantasy team","gingermamba22","140.72","6","1-1-0"
"5810","doyleeee","doyleeee","140.72","5","1-1-0"
"5811","Maye I Cook?","gdub1024","140.72","5","2-0-0"
"5812","Kittle bell","philgenest","140.72","3","2-0-0"
"5813","SoFresh Sleeper","sureshsuresh","140.72","4","2-0-0"
"5814","ryanwalter89","ryanwalter89","140.72","5","1-1-0"
"5815","Gonna Be Maye","landmarkmke","140.72","2","2-0-0"
"5816","Love Hurts","pyropastor1","140.72","5","1-1-0"
"5817","balgarycroons","balgarycroons","140.72","4","2-0-0"
"5818","framerdavyjones","framerdavyjones","140.70","3","2-0-0"
"5819","mikelang6613","mikelang6613","140.70","3","2-0-0"
"5820","Obijan Kenobi","foxsinofgreed13","140.70","4","2-0-0"
"5821","greatbryt","greatbryt","140.70","2","2-0-0"
"5822","The Immaculate Concepcion","mobsterofdamidway","140.70","5","1-1-0"
"5823","nnmmbb9","nnmmbb9","140.70","3","2-0-0"
"5824","Love, Christian McWatson","hahnsworth","140.70","5","2-0-0"
"5825","pjlukin","pjlukin","140.70","5","1-1-0"
"5826","rocseminole","rocseminole","140.70","4","1-1-0"
"5827","Couch Monkeys","ezwill","140.70","3","2-0-0"
"5828","Jahmyrical Workers","marshallmellos","140.70","3","2-0-0"
"5829","jaketyler96","jaketyler96","140.70","4","2-0-0"
"5830","nomad","nomad","140.68","3","2-0-0"
"5831","foamfingers","foamfingers","140.66","3","2-0-0"
"5832","jerejkaa","jerejkaa","140.66","3","2-0-0"
"5833","Sadiq Pics","superfinn23","140.66","5","2-0-0"
"5834","jrb3","jrb3","140.66","3","2-0-0"
"5835","ashippee","ashippee","140.66","3","2-0-0"
"5836","eyeznpowa","eyeznpowa","140.66","3","2-0-0"
"5837","matthewhyde","matthewhyde","140.66","2","2-0-0"
"5838","stonesy","stonesy","140.66","3","2-0-0"
"5839","imjustsaiyan121","imjustsaiyan121","140.66","3","2-0-0"
"5840","If The Glove Fitz-gerald","dk10","140.66","3","2-0-0"
"5841","joedin","joedin","140.66","4","2-0-0"
"5842","warwar","warwar","140.64","2","2-0-0"
"5843","MB-ImYourHuckleberry","imyourhuckleberry57","140.64","5","2-0-0"
"5844","Mr jeffersons little boys","daqnick96","140.62","3","2-0-0"
"5845","Steamin Hanks 2","sorrino","140.62","3","2-0-0"
"5846","Downs with the Smithness","thejenks","140.62","2","2-0-0"
"5847","raaaaaaaandy8","raaaaaaaandy8","140.62","3","2-0-0"
"5848","crypt1d","crypt1d","140.62","5","1-1-0"
"5849","THE PRICE IS RIGHT","gogreezy","140.62","2","2-0-0"
"5850","Megalatron","ryfi","140.60","5","1-1-0"
"5851","jtrain0610","jtrain0610","140.60","3","2-0-0"
"5852","cortron7","cortron7","140.60","3","2-0-0"
"5853","calibuck","calibuck","140.60","4","2-0-0"
"5854","Pukalyptic Jeantyfication","pulsingdeath","140.60","2","2-0-0"
"5855","kyle3436rw","kyle3436rw","140.60","2","2-0-0"
"5856","adrian2104","adrian2104","140.60","3","2-0-0"
"5857","We Built This Griddy","amaral9","140.56","3","2-0-0"
"5858","Action Jeanty","digitaldog","140.56","3","2-0-0"
"5859","gladwell86","gladwell86","140.56","5","2-0-0"
"5860","realtorryab","realtorryab","140.56","3","2-0-0"
"5861","myronas","myronas","140.56","2","2-0-0"
"5862","Magnificently Hot Roster","rfranchetto","140.56","3","2-0-0"
"5863","Hot Hampton and Chase","falcthesaints","140.56","3","2-0-0"
"5864","philmingo","philmingo","140.56","4","2-0-0"
"5865","wharwilf","wharwilf","140.56","4","2-0-0"
"5866","thabaldguy","thabaldguy","140.56","3","2-0-0"
"5867","fantasyrein692","fantasyrein692","140.56","5","1-1-0"
"5868","Who Gibbs A Shit","accopp","140.56","4","2-0-0"
"5869","joeylagnese","joeylagnese","140.56","3","2-0-0"
"5870","Gibbme That!","jllach29","140.54","4","2-0-0"
"5871","Starvin Marvin","tanner0822","140.54","6","1-1-0"
"5872","Knuckles and The Yeti","jhop57","140.54","4","2-0-0"
"5873","cao26msu","cao26msu","140.52","4","2-0-0"
"5874","Silence of the Lambs","mellondawg","140.52","3","2-0-0"
"5875","damgalvan7","damgalvan7","140.50","4","2-0-0"
"5876","Praise Ja","tinyrick","140.50","5","2-0-0"
"5877","Hampton Inn","jcmorgan7212","140.50","3","2-0-0"
"5878","naztea","naztea","140.50","6","1-1-0"
"5879","legzilla","legzilla","140.50","6","1-1-0"
"5880","kozaaa","kozaaa","140.50","3","2-0-0"
"5881","Kneecap Hunter","cheaib","140.50","2","2-0-0"
"5882","iwan15","iwan15","140.46","5","1-1-0"
"5883","Moss My Salad","ohm18","140.46","5","1-1-0"
"5884","tjsummers2","tjsummers2","140.46","5","1-1-0"
"5885","MBariched","mbariched","140.46","6","1-1-0"
"5886","The New Guy","superstroh64","140.46","4","2-0-0"
"5887","ythatkrazyguy","ythatkrazyguy","140.46","6","1-1-0"
"5888","ojodumeh","ojodumeh","140.46","4","2-0-0"
"5889","Jerry Jones","jsivvy","140.46","3","2-0-0"
"5890","General Soreness","joecah","140.46","6","1-1-0"
"5891","Substation Survivors","landmarkmke","140.46","4","2-0-0"
"5892","thallbae","thallbae","140.46","4","2-0-0"
"5893","Poughkeepsie Opiates","photosynthetic","140.46","4","2-0-0"
"5894","sqwert","sqwert","140.46","3","2-0-0"
"5895","mighty330","mighty330","140.46","5","1-1-0"
"5896","Bad News Bears","gaberdog","140.46","3","2-0-0"
"5897","Griddy City","ajunsensashunwf","140.46","2","2-0-0"
"5898","Steely McJimBeam","kiefcoin","140.44","4","2-0-0"
"5899","awight71","awight71","140.44","3","2-0-0"
"5900","dgoldfield","dgoldfield","140.44","3","2-0-0"
"5901","Amon Jared St. Goff","vashonwinsagain","140.44","3","2-0-0"
"5902","Discraft Comets","theechance","140.42","6","1-1-0"
"5903","simplylovely33","simplylovely33","140.42","3","2-0-0"
"5904","Griddler on the Roof","ahauer","140.40","4","2-0-0"
"5905","bdc1324","bdc1324","140.40","4","2-0-0"
"5906","lanovich","lanovich","140.40","5","2-0-0"
"5907","T-Law & the Achanes","jplv","140.40","3","2-0-0"
"5908","My Friend Roger","wsfoot8","140.40","3","2-0-0"
"5909","thenickbaker","thenickbaker","140.36","6","1-1-0"
"5910","Runnin to Laporta-potty","noahsdeli","140.36","6","1-1-0"
"5911","tbarss09","tbarss09","140.36","4","2-0-0"
"5912","nickod51","nickod51","140.36","3","2-0-0"
"5913","Green Eggs & Hampton","sharkmdb","140.36","3","2-0-0"
"5914","Killian Club","ksteets00","140.36","4","2-0-0"
"5915","Mustard Tigers","haneluca","140.36","4","2-0-0"
"5916","Trap House","rkehr53","140.36","3","2-0-0"
"5917","nigelk10","nigelk10","140.36","3","2-0-0"
"5918","Tackle Dummies","mrkennyk","140.36","4","2-0-0"
"5919","GoBearsLXI","gobearslxi","140.36","2","2-0-0"
"5920","Likely Not Makin Playoffs","mblando10","140.36","2","2-0-0"
"5921","coolhandsluke","coolhandsluke","140.34","6","1-1-0"
"5922","Skattebo-do","caprile","140.34","4","2-0-0"
"5923","Thisteamisveryeffuctive","teribletowelfx","140.32","6","1-1-0"
"5924","Love, Ladd & Loaded","viper2","140.32","3","2-0-0"
"5925","ollieb17","ollieb17","140.32","3","2-0-0"
"5926","The Princess McBride","ffgeneral","140.32","3","2-0-0"
"5927","The Tpwnz3r8rz","tpwnz","140.30","3","2-0-0"
"5928","Honk Bonus","aarontotallyrules","140.30","4","2-0-0"
"5929","mcronin51","mcronin51","140.30","6","1-1-0"
"5930","drock11","drock11","140.30","4","2-0-0"
"5931","frostbyrne76","frostbyrne76","140.30","6","1-1-0"
"5932","whodatbears","whodatbears","140.30","3","2-0-0"
"5933","tyco00048","tyco00048","140.30","3","2-0-0"
"5934","jonathancarter96","jonathancarter96","140.30","3","2-0-0"
"5935","jollygreengiant87","jollygreengiant87","140.30","5","2-0-0"
"5936","Too Many Saints","marshmallowguy0","140.30","5","2-0-0"
"5937","samwise30","samwise30","140.30","2","2-0-0"
"5938","Zay It Ain't So","themattryan","140.30","3","2-0-0"
"5939","bicoastalbros","bicoastalbros","140.26","4","2-0-0"
"5940","taber1981","taber1981","140.26","5","1-1-0"
"5941","Who Dat","brendeaux","140.26","4","2-0-0"
"5942","An Autodraft mess","rbbarrett","140.26","3","2-0-0"
"5943","BootsBarnes18","barnes18","140.26","4","2-0-0"
"5944","cbrowning84","cbrowning84","140.26","3","2-0-0"
"5945","Dangerous Nights Crew","twreckz","140.26","4","2-0-0"
"5946","La Chota","adamharmon","140.26","5","1-1-0"
"5947","firehall66","firehall66","140.26","5","1-1-0"
"5948","jfroese","jfroese","140.26","6","1-1-0"
"5949","weirdo24","weirdo24","140.26","6","1-1-0"
"5950","Addressing The King","diesul20","140.22","6","1-1-0"
"5951","vgavin3","vgavin3","140.22","4","2-0-0"
"5952","Tuten till pants be Brown","basky75","140.22","6","1-1-0"
"5953","oscardavy13","oscardavy13","140.22","3","2-0-0"
"5954","gpg0440","gpg0440","140.22","2","2-0-0"
"5955","asacr","asacr","140.22","3","2-0-0"
"5956","tatochip","tatochip","140.22","5","1-1-0"
"5957","Spiritually Homeless","homelessgm","140.20","4","2-0-0"
"5958","casonlizana","casonlizana","140.20","3","2-0-0"
"5959","Porcelain Logs","bullshitcamps","140.20","4","2-0-0"
"5960","rsteele","rsteele","140.20","4","2-0-0"
"5961","rustenhaven","rustenhaven","140.16","4","2-0-0"
"5962","kylearnold7","kylearnold7","140.16","4","2-0-0"
"5963","le13uckets","le13uckets","140.16","4","2-0-0"
"5964","titanoftariffs","titanoftariffs","140.16","6","1-1-0"
"5965","Megalawhatnow","thedehmer","140.16","5","1-1-0"
"5966","bredmon08","bredmon08","140.16","4","2-0-0"
"5967","bowshern","bowshern","140.16","4","2-0-0"
"5968","mikewibsjr","mikewibsjr","140.16","4","2-0-0"
"5969","changerbanger","changerbanger","140.14","4","2-0-0"
"5970","Cooked Lamb","ahoyt2424","140.14","4","2-0-0"
"5971","rome30ffsl","rome30ffsl","140.14","3","2-0-0"
"5972","fattkatt","fattkatt","140.14","3","2-0-0"
"5973","Astral Paw Atrocity","shanna56","140.12","4","2-0-0"
"5974","tomm21","tomm21","140.12","4","2-0-0"
"5975","duncand2","duncand2","140.12","4","2-0-0"
"5976","Colston mcLoveland","dphoffman","140.10","5","1-1-0"
"5977","The Misclicks","lmatkiel1","140.10","2","2-0-0"
"5978","specter767","specter767","140.10","3","2-0-0"
"5979","JT’s Bell Cows","dblake91","140.10","3","2-0-0"
"5980","bmdraiders","bmdraiders","140.10","4","2-0-0"
"5981","zachgriffin","zachgriffin","140.10","5","1-1-0"
"5982","Dak shots","ronstilliii","140.10","4","2-0-0"
"5983","Im sorry Smith Jaxon","jetspack19","140.10","6","1-1-0"
"5984","simon21","simon21","140.10","2","2-0-0"
"5985","whelkhunter","whelkhunter","140.06","3","2-0-0"
"5986","TITTIES","jiggamanxo99","140.06","2","2-0-0"
"5987","Obi-Win Kenobi","ljschriber","140.06","3","2-0-0"
"5988","The Boston Tea Party","kodyapodaca","140.06","6","1-1-0"
"5989","matthewhj","matthewhj","140.06","3","2-0-0"
"5990","kyl3borg","kyl3borg","140.06","4","2-0-0"
"5991","Bower sours","zxyer99","140.06","4","2-0-0"
"5992","jcrobinson2000","jcrobinson2000","140.06","3","2-0-0"
"5993","Eye of the Bedlam Mcbride","megamann87","140.04","2","2-0-0"
"5994","ramit24","ramit24","140.04","4","2-0-0"
"5995","Dozer's Hozers","dozerkc","140.04","2","2-0-0"
"5996","boltguy","boltguy","140.04","3","2-0-0"
"5997","Deijon, Love Mustard","chumpybs","140.04","3","2-0-0"
"5998","Mr Mayegoo and Crew","ivaar","140.02","5","2-0-0"
"5999","It's not the plane Mav","scottmcconnell37","140.02","4","2-0-0"
"6000","Prestige Worldwide","ryanwallace185","140.02","7","1-1-0"
"6001","Silence of Dee Lamb","bkern2449","140.02","6","1-1-0"
"6002","mickle814","mickle814","140.00","5","1-1-0"
"6003","dawsonstrong","dawsonstrong","140.00","4","2-0-0"
"6004","Love Thy Nabers","mws1395","140.00","5","2-0-0"
"6005","elk1204","elk1204","140.00","4","2-0-0"
"6006","Mr.Coach Klein","burtreynolds1","140.00","3","2-0-0"
"6007","markymarc20","markymarc20","140.00","3","2-0-0"
"6008","Lurkaball","lurkingamigo","140.00","3","2-0-0"
"6009","cynical412","cynical412","140.00","3","2-0-0"
"6010","nathanfultz","nathanfultz","140.00","2","2-0-0"
"6011","joshpfeiffer007","joshpfeiffer007","140.00","6","1-1-0"
"6012","TOUCHDOWN TITANS","fred7907","140.00","5","1-1-0"
"6013","murdolf11","murdolf11","139.96","5","2-0-0"
"6014","haywoodboy","haywoodboy","139.96","5","1-1-0"
"6015","jamesrob1inson","jamesrob1inson","139.96","4","2-0-0"
"6016","Sally’s Pour Decisions","rwl44","139.96","5","2-0-0"
"6017","zachnemitz13","zachnemitz13","139.96","2","2-0-0"
"6018","Get Swifty JJ","gbaby280","139.96","3","2-0-0"
"6019","Big Yeti Bone","zwayne15","139.96","2","2-0-0"
"6020","turnerman8923","turnerman8923","139.96","4","2-0-0"
"6021","soonerburgh","soonerburgh","139.96","4","2-0-0"
"6022","mistertouchdown","mistertouchdown","139.96","2","2-0-0"
"6023","iloveJherbo","jaxonmcfarland","139.96","3","2-0-0"
"6024","cherokee75","cherokee75","139.96","4","2-0-0"
"6025","bradhall","bradhall","139.96","5","2-0-0"
"6026","The Angry Chickens","mike_f","139.94","3","2-0-0"
"6027","pottsy3","pottsy3","139.92","3","2-0-0"
"6028","High T","adam1223","139.92","3","2-0-0"
"6029","kanyescous1n","kanyescous1n","139.92","5","2-0-0"
"6030","lurch18a","lurch18a","139.92","6","1-1-0"
"6031","erico","erico","139.92","5","2-0-0"
"6032","Raisin’ Cain","acain7","139.92","3","2-0-0"
"6033","stua1193","stua1193","139.92","3","2-0-0"
"6034","joshlavin","joshlavin","139.90","4","2-0-0"
"6035","Any Given Chumday","jarydm","139.90","3","2-0-0"
"6036","lukeduke01","lukeduke01","139.90","3","2-0-0"
"6037","smcarp2352","smcarp2352","139.90","3","2-0-0"
"6038","coffeencontmplt","coffeencontmplt","139.90","3","2-0-0"
"6039","ateamballer2005","ateamballer2005","139.90","5","1-1-0"
"6040","To Bijan with Love","nuglasfresh","139.90","5","1-1-0"
"6041","Anyway here's Wonderwall","slomeaux","139.86","5","1-1-0"
"6042","joshpeters013","joshpeters013","139.86","4","2-0-0"
"6043","King Henry’s Loveshack","jbertucci","139.86","3","2-0-0"
"6044","Ra Power","monroemartin","139.86","5","1-1-0"
"6045","Daejon Love","supamariooh","139.86","3","2-0-0"
"6046","engemania","engemania","139.86","4","2-0-0"
"6047","Daejon Love","calebpickle","139.86","3","2-0-0"
"6048","jahmyrgibbssono0o","jahmyrgibbssono0o","139.86","2","2-0-0"
"6049","Jed Yorks Trailer Daddy","impapashawn","139.86","2","2-0-0"
"6050","alextheguru","alextheguru","139.86","4","1-1-0"
"6051","Have a peach 🍑","natchbo","139.86","4","2-0-0"
"6052","durana26","durana26","139.86","2","2-0-0"
"6053","rockdoc1228","rockdoc1228","139.86","3","2-0-0"
"6054","groinindex.com","mattyo3384","139.86","3","2-0-0"
"6055","caleagles90","caleagles90","139.86","5","1-1-0"
"6056","Slow White Bronco","nmerrill4428","139.84","4","2-0-0"
"6057","parksy81","parksy81","139.82","4","2-0-0"
"6058","gentlemandunny","gentlemandunny","139.82","4","2-0-0"
"6059","49ersomar","49ersomar","139.82","5","1-1-0"
"6060","Blue Eyez Cardz","billyblueeyez","139.80","4","2-0-0"
"6061","No Vaseline","novaselineog","139.80","2","2-0-0"
"6062","Worse than Autopick","cibas","139.80","6","1-1-0"
"6063","Emeka EgBigBoo","samsstaley","139.80","6","1-1-0"
"6064","Team Calebbb","depressedfalconfan","139.76","6","1-1-0"
"6065","Burden of Love","belowaverage13","139.76","3","2-0-0"
"6066","bboone0821","bboone0821","139.76","2","2-0-0"
"6067","This Ain’t Purdy","coopernc","139.76","2","2-0-0"
"6068","glockugo","glockugo","139.76","4","2-0-0"
"6069","Go Go Bower Rangers!","jduncan360","139.76","3","2-0-0"
"6070","Beer n' Wings","gweeno","139.76","4","2-0-0"
"6071","crazeefrazeeflooring","crazeefrazeeflooring","139.76","4","2-0-0"
"6072","Kiss My Achane","khoehns","139.76","3","2-0-0"
"6073","knight_king","knight_king","139.76","4","2-0-0"
"6074","What did he zay?","camkron1344","139.76","3","2-0-0"
"6075","The Ryder Storm","iknightryder","139.76","5","1-1-0"
"6076","jth727","jth727","139.76","6","1-1-0"
"6077","London Sillinannies","nick5cron","139.76","6","1-1-0"
"6078","richardblaine","richardblaine","139.74","6","1-1-0"
"6079","devkan1","devkan1","139.74","6","1-1-0"
"6080","F*CK GOFF","martymc3putt","139.74","6","1-1-0"
"6081","wastepanel","wastepanel","139.72","3","2-0-0"
"6082","208BlueTurf","jrfeeler","139.72","2","2-0-0"
"6083","cdogg2269","cdogg2269","139.72","3","2-0-0"
"6084","Rome is Burning","gravesend","139.70","2","2-0-0"
"6085","zynman","zynman","139.70","4","2-0-0"
"6086","The Hampton Inn","maxg921","139.70","4","2-0-0"
"6087","Munich Koalas","jonajona","139.70","2","2-0-0"
"6088","pigskinpadawan","pigskinpadawan","139.70","6","1-1-0"
"6089","micklovin","micklovin","139.70","6","1-1-0"
"6090","jobogz","jobogz","139.70","5","1-1-0"
"6091","Autodraft Idiot","sulax04","139.70","3","2-0-0"
"6092","lagostyle","lagostyle","139.70","6","1-1-0"
"6093","gromlite","gromlite","139.70","3","2-0-0"
"6094","arsell15","arsell15","139.70","5","1-1-0"
"6095","bigmac1001","bigmac1001","139.70","4","2-0-0"
"6096","smash1995","smash1995","139.70","4","2-0-0"
"6097","deleted-rlwx3kvlzwmv","deleted-rlwx3kvlzwmv","139.66","3","2-0-0"
"6098","aquisic","aquisic","139.66","6","1-1-0"
"6099","Something Clever","kvnconlon","139.66","4","2-0-0"
"6100","Green Bay Smackers","philshifley","139.66","5","1-1-0"
"6101","Olave Garden","aa290p","139.66","3","2-0-0"
"6102","omnijsg","omnijsg","139.66","3","2-0-0"
"6103","byobob","byobob","139.66","4","2-0-0"
"6104","Butterfly Stretch","djreagle44","139.66","3","2-0-0"
"6105","m33m","m33m","139.66","4","2-0-0"
"6106","Gibbs and the Boys","papad2205","139.66","5","1-1-0"
"6107","Hall of a Sutton","crowelor","139.66","5","1-1-0"
"6108","geoffreywilliam","geoffreywilliam","139.66","2","2-0-0"
"6109","footballsf","footballsf","139.66","3","2-0-0"
"6110","austinmesser","austinmesser","139.66","3","2-0-0"
"6111","North East Assassins 🥷","jasonmaxim","139.64","3","2-0-0"
"6112","lepakular","lepakular","139.64","3","2-0-0"
"6113","thymos26","thymos26","139.64","2","2-0-0"
"6114","Gridiron Goblins","jjones4061","139.62","5","2-0-0"
"6115","donkey15","donkey15","139.62","4","2-0-0"
"6116","mshenryproost","mshenryproost","139.62","6","1-1-0"
"6117","umayer","umayer","139.62","6","1-1-0"
"6118","markyy77","markyy77","139.60","3","2-0-0"
"6119","Lick My Tate","lilzink","139.60","5","2-0-0"
"6120","Vinegar Strokes","eaasheim","139.60","2","2-0-0"
"6121","pigactual","pigactual","139.60","6","1-1-0"
"6122","Vaguely Optimistic","bailout","139.60","4","2-0-0"
"6123","My Nabers are Christian","siwpski","139.60","2","2-0-0"
"6124","JSN Bourne","jdd1111","139.56","3","2-0-0"
"6125","domineasy","domineasy","139.56","5","1-1-0"
"6126","putindagoat","putindagoat","139.56","3","2-0-0"
"6127","✌️Other Guys✌️ brakes","dudesindaleague","139.56","2","2-0-0"
"6128","arho27","arho27","139.56","4","2-0-0"
"6129","ryanbooth","ryanbooth","139.56","3","2-0-0"
"6130","PilkFam","lukepilk","139.56","3","2-0-0"
"6131","DraftedUnderTheInfluence","4dubbz","139.56","4","2-0-0"
"6132","jasonsensationz","jasonsensationz","139.56","5","2-0-0"
"6133","Nacua Matata","corby0713","139.56","5","1-1-0"
"6134","stevencavila","stevencavila","139.56","3","2-0-0"
"6135","Toxic Crusaders","ronniek82","139.56","3","2-0-0"
"6136","Short Bus","kingwombat44","139.56","4","2-0-0"
"6137","glucose","glucoselounge","139.56","4","2-0-0"
"6138","Tet the Halls","jeffreykammerer","139.56","3","2-0-0"
"6139","Bad To The Bone","jgambone66","139.54","2","2-0-0"
"6140","peekingtoo","peekingtoo","139.54","4","2-0-0"
"6141","tiverson20","tiverson20","139.54","4","2-0-0"
"6142","zbrooks34","zbrooks34","139.52","6","1-1-0"
"6143","lawdannucci","lawdannucci","139.52","2","2-0-0"
"6144","billsmafiayyc","billsmafiayyc","139.52","4","1-1-0"
"6145","motley-crew","motley-crew","139.50","5","1-1-0"
"6146","Bumpin' Uglies","dflan728","139.50","4","2-0-0"
"6147","thatdogahuntbigl","thatdogahuntbigl","139.50","3","2-0-0"
"6148","Stad's Lads","stadleroulaw","139.50","3","2-0-0"
"6149","romanbernardo","romanbernardo","139.50","6","2-0-0"
"6150","Allen Keys to Victory","thetruesteviek","139.46","4","2-0-0"
"6151","Team Cap","ecaplette","139.46","5","1-1-0"
"6152","pronco","pronco","139.46","5","1-1-0"
